Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
541.025175837683	541.383008756627	Maybe Montana 3&4.wav	699	Spectrogram 1	1	Large Training Set.wav-24	0.354495107339449
542.753179593242	543.30301292947	Maybe Montana 3&4.wav	702	Spectrogram 1	1	Large Training Set.wav-24	0.365612782621953
543.681181610116	544.391015294082	Maybe Montana 3&4.wav	711	Spectrogram 1	1	Large Training Set.wav-24	0.369355522351061
544.779850664577	545.457684278994	Maybe Montana 3&4.wav	725	Spectrogram 1	1	Large Training Set.wav-24	0.377010708829103
546.198520414511	546.887020718778	Maybe Montana 3&4.wav	737	Spectrogram 1	1	Large Training Set.wav-24	0.357202998183096
547.201189260329	548.060356602182	Maybe Montana 3&4.wav	753	Spectrogram 1	1	Large Training Set.wav-24	0.350608960728906
548.939859705737	549.575026560758	Maybe Montana 3&4.wav	766	Spectrogram 1	1	Large Training Set.wav-24	0.359620003569713
550.945197397373	551.484364043752	Maybe Montana 3&4.wav	776	Spectrogram 1	1	Large Training Set.wav-24	0.351522224194163
552.075866521381	552.668366617006	Maybe Montana 3&4.wav	784	Spectrogram 1	1	Large Training Set.wav-24	0.357870798859069
554.966539470495	555.569706255969	Maybe Montana 3&4.wav	796	Spectrogram 1	1	Large Training Set.wav-24	0.354909706584332
556.342542461033	556.828375658166	Maybe Montana 3&4.wav	806	Spectrogram 1	1	Large Training Set.wav-24	0.362700346926416
558.475880430859	559.025713767087	Maybe Montana 3&4.wav	812	Spectrogram 1	1	Large Training Set.wav-24	0.352063066554734
560.203884186418	560.593717174909	Maybe Montana 3&4.wav	816	Spectrogram 1	1	Large Training Set.wav-24	0.353115176576139
561.537220417559	561.959053475597	Maybe Montana 3&4.wav	822	Spectrogram 1	1	Large Training Set.wav-24	0.3683911823399
564.310559778332	564.785726285617	Maybe Montana 3&4.wav	825	Spectrogram 1	1	Large Training Set.wav-24	0.35076528592289
578.230590031446	578.567089570692	Maybe Montana 3&4.wav	829	Spectrogram 1	1	Large Training Set.wav-24	0.350934880352102
579.28659232651	579.601758486057	Maybe Montana 3&4.wav	831	Spectrogram 1	1	Large Training Set.wav-24	0.357233491325429
584.609270561225	585.041770309113	Maybe Montana 3&4.wav	833	Spectrogram 1	1	Large Training Set.wav-24	0.35311814201919
585.803939824328	586.119105983875	Maybe Montana 3&4.wav	840	Spectrogram 1	1	Large Training Set.wav-24	0.354317048353639
587.627943788529	588.103110295813	Maybe Montana 3&4.wav	842	Spectrogram 1	1	Large Training Set.wav-24	0.355955493594307
589.238613955747	589.809780671674	Maybe Montana 3&4.wav	847	Spectrogram 1	1	Large Training Set.wav-24	0.358132090469683
599.574636419554	600.007136167441	Maybe Montana 3&4.wav	856	Spectrogram 1	1	Large Training Set.wav-24	0.354423890245557
605.942650259484	606.545817044958	Maybe Montana 3&4.wav	858	Spectrogram 1	1	Large Training Set.wav-24	0.375245092447423
607.403986768814	607.943153415193	Maybe Montana 3&4.wav	868	Spectrogram 1	1	Large Training Set.wav-24	0.351871610683471
608.769323069503	609.351156475278	Maybe Montana 3&4.wav	877	Spectrogram 1	1	Large Training Set.wav-24	0.359259491003784
613.025332319306	613.671165864176	Maybe Montana 3&4.wav	886	Spectrogram 1	1	Large Training Set.wav-24	0.383504223301038
944.183385375371	944.509218224768	Maybe Montana 3&4.wav	897	Spectrogram 1	1	Large Training Set.wav-24	0.361231976548284
1070.2750442572	1070.75945378015	Maybe Montana 3&4.wav	2488	Spectrogram 1	1	Large Training Set.wav-70	0.513832014248836
1075.04233644449	1075.5167980689	Maybe Montana 3&4.wav	904	Spectrogram 1	1	Large Training Set.wav-24	0.406850826998242
1080.25834778071	1080.72284759815	Maybe Montana 3&4.wav	908	Spectrogram 1	1	Large Training Set.wav-24	0.423375577569153
1110.95782664071	1111.3042473956	Maybe Montana 3&4.wav	2493	Spectrogram 1	1	Large Training Set.wav-70	0.514862538816262
1243.00086888652	1243.94099606992	Maybe Montana 3&4.wav	2494	Spectrogram 1	1	Large Training Set.wav-70	0.355319933366755
1245.6782098352	1246.14187377844	Maybe Montana 3&4.wav	2507	Spectrogram 1	1	Large Training Set.wav-70	0.360788352596793
1265.997298895	1266.47307929189	Maybe Montana 3&4.wav	3739	Spectrogram 1	1	Large Training Set.wav-46	0.351581023164425
1283.97165208922	1284.43177790731	Maybe Montana 3&4.wav	2511	Spectrogram 1	1	Large Training Set.wav-70	0.388077495478604
1322.2224275552	1322.75722025235	Maybe Montana 3&4.wav	2518	Spectrogram 1	1	Large Training Set.wav-70	0.353387260713562
1324.30243347151	1324.64522562253	Maybe Montana 3&4.wav	2527	Spectrogram 1	1	Large Training Set.wav-70	0.364413727040367
1351.95051211285	1352.37143798592	Maybe Montana 3&4.wav	2529	Spectrogram 1	1	Large Training Set.wav-70	0.35859573721396
1437.12312337318	1437.61896526718	Maybe Montana 3&4.wav	930	Spectrogram 1	1	Large Training Set.wav-24	0.39599159842317
1444.07780515481	1444.78763883878	Maybe Montana 3&4.wav	936	Spectrogram 1	1	Large Training Set.wav-24	0.370492338542591
1444.86714020365	1445.22497312259	Maybe Montana 3&4.wav	947	Spectrogram 1	1	Large Training Set.wav-24	0.355137931539497
1462.33917817652	1462.86767813305	Maybe Montana 3&4.wav	949	Spectrogram 1	1	Large Training Set.wav-24	0.371660979542134
1463.58718088887	1464.03034732661	Maybe Montana 3&4.wav	957	Spectrogram 1	1	Large Training Set.wav-24	0.356028634067828
1465.03785070835	1465.55568397503	Maybe Montana 3&4.wav	964	Spectrogram 1	1	Large Training Set.wav-24	0.376078182695774
1467.58718958229	1468.22235643731	Maybe Montana 3&4.wav	974	Spectrogram 1	1	Large Training Set.wav-24	0.369699969095742
1469.9978614882	1470.68636179246	Maybe Montana 3&4.wav	987	Spectrogram 1	1	Large Training Set.wav-24	0.370776965496549
1472.06719931893	1472.74503293335	Maybe Montana 3&4.wav	1000	Spectrogram 1	1	Large Training Set.wav-24	0.379394895478814
1535.17133646638	1535.57183614472	Maybe Montana 3&4.wav	1012	Spectrogram 1	1	Large Training Set.wav-24	0.358698394801877
1536.93134029148	1537.45984024801	Maybe Montana 3&4.wav	1016	Spectrogram 1	1	Large Training Set.wav-24	0.356836810287603
1538.26467652262	1538.77184309946	Maybe Montana 3&4.wav	1019	Spectrogram 1	1	Large Training Set.wav-24	0.352007362122348
1542.31801866529	1542.87851869137	Maybe Montana 3&4.wav	1025	Spectrogram 1	1	Large Training Set.wav-24	0.357958087196868
1544.6433570524	1545.72652488109	Maybe Montana 3&4.wav	1033	Spectrogram 1	1	Large Training Set.wav-24	0.360148227064034
1546.69136150344	1547.45452863665	Maybe Montana 3&4.wav	1049	Spectrogram 1	1	Large Training Set.wav-24	0.35830550501875
1548.11003125337	1548.81986493733	Maybe Montana 3&4.wav	1063	Spectrogram 1	1	Large Training Set.wav-24	0.361428367839859
1549.5287010033	1550.17453454817	Maybe Montana 3&4.wav	1078	Spectrogram 1	1	Large Training Set.wav-24	0.368419274554073
1592.97412875881	1593.30042548939	Maybe Montana 3&4.wav	1086	Spectrogram 1	1	Large Training Set.wav-24	0.439800504558456
1885.04002841616	1885.38532973677	Maybe Montana 3&4.wav	2541	Spectrogram 1	1	Large Training Set.wav-70	0.513932988400029
1890.42568668951	1890.78267549935	Maybe Montana 3&4.wav	80	Spectrogram 1	1	Large Training Set.wav-27	0.377389022939017
1895.67369877486	1896.02002089347	Maybe Montana 3&4.wav	83	Spectrogram 1	1	Large Training Set.wav-27	0.403677562292536
1905.91372235604	1906.24937778343	Maybe Montana 3&4.wav	86	Spectrogram 1	1	Large Training Set.wav-27	0.371469043552953
2019.46174409446	2019.80697262223	Maybe Montana 3&4.wav	2546	Spectrogram 1	1	Large Training Set.wav-70	0.526651158876136
2025.4137610242	2025.79098640248	Maybe Montana 3&4.wav	2548	Spectrogram 1	1	Large Training Set.wav-70	0.561145877055516
2271.62093702996	2271.96810325905	Maybe Montana 3&4.wav	1089	Spectrogram 1	1	Large Training Set.wav-24	0.351495148654487
2279.10895330404	2279.52011967223	Maybe Montana 3&4.wav	1091	Spectrogram 1	1	Large Training Set.wav-24	0.35808479033361
2281.96762618361	2282.4427926909	Maybe Montana 3&4.wav	1094	Spectrogram 1	1	Large Training Set.wav-24	0.369482587738355
2308.01546543181	2308.33124549603	Maybe Montana 3&4.wav	3767	Spectrogram 1	1	Large Training Set.wav-46	0.37523751933165
2314.34102987572	2315.01886349014	Maybe Montana 3&4.wav	1102	Spectrogram 1	1	Large Training Set.wav-24	0.355517498411674
2315.07703147531	2315.49886453335	Maybe Montana 3&4.wav	1107	Spectrogram 1	1	Large Training Set.wav-24	0.357004173551541
2316.10103370082	2316.77886731524	Maybe Montana 3&4.wav	1109	Spectrogram 1	1	Large Training Set.wav-24	0.361994759817109
2317.27436958423	2318.25087051442	Maybe Montana 3&4.wav	1122	Spectrogram 1	1	Large Training Set.wav-24	0.358385600001607
2318.97037327024	2319.50953991662	Maybe Montana 3&4.wav	1142	Spectrogram 1	1	Large Training Set.wav-24	0.36724151848376
2320.15437584349	2320.67220911017	Maybe Montana 3&4.wav	1151	Spectrogram 1	1	Large Training Set.wav-24	0.356183405034937
2321.09304455022	2321.79221154433	Maybe Montana 3&4.wav	1160	Spectrogram 1	1	Large Training Set.wav-24	0.352373803926598
2322.46904754075	2322.8268804597	Maybe Montana 3&4.wav	1166	Spectrogram 1	1	Large Training Set.wav-24	0.359742184687198
2323.82371715159	2324.18155007054	Maybe Montana 3&4.wav	1170	Spectrogram 1	1	Large Training Set.wav-24	0.355841175402884
2327.85572591457	2328.18155876396	Maybe Montana 3&4.wav	1174	Spectrogram 1	1	Large Training Set.wav-24	0.358111021804018
2330.56506513624	2331.18956530142	Maybe Montana 3&4.wav	1176	Spectrogram 1	1	Large Training Set.wav-24	0.366326512917885
2332.11173516437	2332.58690167165	Maybe Montana 3&4.wav	1186	Spectrogram 1	1	Large Training Set.wav-24	0.361834254491712
2333.79707216053	2334.18690514902	Maybe Montana 3&4.wav	1193	Spectrogram 1	1	Large Training Set.wav-24	0.352633747374509
2337.58374705697	2338.1549137729	Maybe Montana 3&4.wav	1196	Spectrogram 1	1	Large Training Set.wav-24	0.368985110397058
2339.62108481815	2340.08558463559	Maybe Montana 3&4.wav	1207	Spectrogram 1	1	Large Training Set.wav-24	0.361364434757125
2340.67708711322	2341.32292065809	Maybe Montana 3&4.wav	1210	Spectrogram 1	1	Large Training Set.wav-24	0.358516057220722
2341.7773275456	2342.37892295315	Maybe Montana 3&4.wav	2550	Spectrogram 1	1	Large Training Set.wav-70	0.353896069161389
2342.86375853229	2343.52025876701	Maybe Montana 3&4.wav	1230	Spectrogram 1	1	Large Training Set.wav-24	0.360908573245051
2344.37842849087	2344.864261688	Maybe Montana 3&4.wav	1244	Spectrogram 1	1	Large Training Set.wav-24	0.386459610981266
2347.08776771254	2347.66960111832	Maybe Montana 3&4.wav	1251	Spectrogram 1	1	Large Training Set.wav-24	0.359470057304758
2348.35710380459	2348.90693714082	Maybe Montana 3&4.wav	1261	Spectrogram 1	1	Large Training Set.wav-24	0.368381251150171
2349.69044003573	2350.22960668211	Maybe Montana 3&4.wav	1271	Spectrogram 1	1	Large Training Set.wav-24	0.355344327986058
2351.61044420858	2352.2029443042	Maybe Montana 3&4.wav	1278	Spectrogram 1	1	Large Training Set.wav-24	0.350728489579925
2353.08244740776	2353.80294778157	Maybe Montana 3&4.wav	1287	Spectrogram 1	1	Large Training Set.wav-24	0.359398898091694
2354.55445060694	2355.09361725331	Maybe Montana 3&4.wav	1297	Spectrogram 1	1	Large Training Set.wav-24	0.371656896389243
2355.78111993959	2356.37362003521	Maybe Montana 3&4.wav	1307	Spectrogram 1	1	Large Training Set.wav-24	0.355751299901145
2357.18912299967	2357.74962302575	Maybe Montana 3&4.wav	1318	Spectrogram 1	1	Large Training Set.wav-24	0.358407229951546
2358.85312661613	2359.32829312342	Maybe Montana 3&4.wav	1327	Spectrogram 1	1	Large Training Set.wav-24	0.366558187819848
2361.125131554	2361.58963137143	Maybe Montana 3&4.wav	1333	Spectrogram 1	1	Large Training Set.wav-24	0.360373569026774
2365.47714101244	2366.00564096897	Maybe Montana 3&4.wav	1340	Spectrogram 1	1	Large Training Set.wav-24	0.367082386367175
2368.19714692397	2368.82164708914	Maybe Montana 3&4.wav	1350	Spectrogram 1	1	Large Training Set.wav-24	0.372896174680358
2370.92781952535	2371.29631913414	Maybe Montana 3&4.wav	1362	Spectrogram 1	1	Large Training Set.wav-24	0.350855759941865
2373.22115784291	2373.64299090095	Maybe Montana 3&4.wav	1365	Spectrogram 1	1	Large Training Set.wav-24	0.366018220947406
2374.34116027707	2374.92299368285	Maybe Montana 3&4.wav	1372	Spectrogram 1	1	Large Training Set.wav-24	0.352154124053802
2375.63182974881	2376.21366315459	Maybe Montana 3&4.wav	1381	Spectrogram 1	1	Large Training Set.wav-24	0.353484942325206
2377.21049984649	2377.77099987256	Maybe Montana 3&4.wav	1390	Spectrogram 1	1	Large Training Set.wav-24	0.350232228614374
2378.54383607763	2379.01900258491	Maybe Montana 3&4.wav	1399	Spectrogram 1	1	Large Training Set.wav-24	0.3530674926181
2379.91983906816	2380.54433923334	Maybe Montana 3&4.wav	1405	Spectrogram 1	1	Large Training Set.wav-24	0.353788864493754
2446.57598393537	2447.168484031	Maybe Montana 3&4.wav	1414	Spectrogram 1	1	Large Training Set.wav-24	0.358080875756067
2454.58666801207	2454.93383424116	Maybe Montana 3&4.wav	1425	Spectrogram 1	1	Large Training Set.wav-24	0.351244863520831
2458.02134214349	2458.8058426564	Maybe Montana 3&4.wav	1428	Spectrogram 1	1	Large Training Set.wav-24	0.357090437131777
2460.00534645543	2460.54451310181	Maybe Montana 3&4.wav	1436	Spectrogram 1	1	Large Training Set.wav-24	0.362272254512397
2461.80801703993	2462.34718368631	Maybe Montana 3&4.wav	1440	Spectrogram 1	1	Large Training Set.wav-24	0.351506483633081
2464.3784572043	2464.69385545312	Maybe Montana 3&4.wav	3800	Spectrogram 1	1	Large Training Set.wav-46	0.355268558454719
2488.58140856124	2488.88590803094	Maybe Montana 3&4.wav	1446	Spectrogram 1	1	Large Training Set.wav-24	0.353604987018343
2625.84213553074	2626.20836907028	Maybe Montana 3&4.wav	2556	Spectrogram 1	1	Large Training Set.wav-70	0.524220925709495
2726.09633469457	2726.82775849547	Maybe Montana 3&4.wav	3801	Spectrogram 1	1	Large Training Set.wav-46	0.360603472078344
2736.32594699712	2736.75844674501	Maybe Montana 3&4.wav	1456	Spectrogram 1	1	Large Training Set.wav-24	0.369142440304438
2737.63794984856	2738.1237830457	Maybe Montana 3&4.wav	1461	Spectrogram 1	1	Large Training Set.wav-24	0.354288871731884
2739.18461987669	2740.07578728809	Maybe Montana 3&4.wav	1464	Spectrogram 1	1	Large Training Set.wav-24	0.356859161578387
2740.96595708149	2741.99579146093	Maybe Montana 3&4.wav	1479	Spectrogram 1	1	Large Training Set.wav-24	0.357507858264384
2749.81930965627	2750.2838094737	Maybe Montana 3&4.wav	1498	Spectrogram 1	1	Large Training Set.wav-24	0.359277414047409
2764.01667384546	2765.16384181324	Maybe Montana 3&4.wav	1502	Spectrogram 1	1	Large Training Set.wav-24	0.368787962798191
2767.94201570994	2768.29984862888	Maybe Montana 3&4.wav	1525	Spectrogram 1	1	Large Training Set.wav-24	0.352474320017503
2769.6913528452	2769.99585231489	Maybe Montana 3&4.wav	1527	Spectrogram 1	1	Large Training Set.wav-24	0.353761091502232
2771.16335604438	2771.59585579226	Maybe Montana 3&4.wav	1529	Spectrogram 1	1	Large Training Set.wav-24	0.358290089861749
2776.16603358362	2776.84386719803	Maybe Montana 3&4.wav	1534	Spectrogram 1	1	Large Training Set.wav-24	0.360590106044386
2781.10471098376	2782.1772121226	Maybe Montana 3&4.wav	1543	Spectrogram 1	1	Large Training Set.wav-24	0.368026692965272
2783.98471724303	2785.17406847688	Maybe Montana 3&4.wav	1566	Spectrogram 1	1	Large Training Set.wav-24	0.368682709690314
2804.03809415939	2804.44961034564	Maybe Montana 3&4.wav	1585	Spectrogram 1	1	Large Training Set.wav-24	0.352529612528565
2817.51012343884	2817.81462290854	Maybe Montana 3&4.wav	1588	Spectrogram 1	1	Large Training Set.wav-24	0.353684524509755
