Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
158	Spectrogram 1	1	4245.643592	4245.977908	0	24000	0.3343	24000	-74.58	LARGE DEMO SET.wav
159	Spectrogram 1	1	4246.219594	4246.573053	0	24000	0.3535	24000	-57.46	LARGE DEMO SET.wav
160	Spectrogram 1	1	4246.925985	4247.209151	0	24000	0.2832	24000	-48.94	LARGE DEMO SET.wav
161	Spectrogram 1	1	4247.542264	4248.275822	0	24000	0.7336	24000	-58.3	LARGE DEMO SET.wav
162	Spectrogram 1	1	4248.3956	4248.706392	0	24000	0.3108	24000	-52.86	LARGE DEMO SET.wav
163	Spectrogram 1	1	4251.168941	4251.5864	0	24000	0.4175	24000	-68.78	LARGE DEMO SET.wav
164	Spectrogram 1	1	4261.027365	4261.310531	0	24000	0.2832	24000	-83.82	LARGE DEMO SET.wav
165	Spectrogram 1	1	4274.806339	4275.283911	0	24000	0.4776	24000	-75.46	LARGE DEMO SET.wav
166	Spectrogram 1	1	4292.42772	4292.781179	0	24000	0.3535	24000	-78.61	LARGE DEMO SET.wav
167	Spectrogram 1	1	4294.648809	4294.978518	0	24000	0.3297	24000	-66.41	LARGE DEMO SET.wav
168	Spectrogram 1	1	4302.283747	4303.42267	0	24000	1.1389	24000	-72.98	LARGE DEMO SET.wav
169	Spectrogram 1	1	4378.315955	4378.729585	0	24000	0.4136	24000	-71.02	LARGE DEMO SET.wav
170	Spectrogram 1	1	4378.827956	4379.181415	0	24000	0.3535	24000	-65.17	LARGE DEMO SET.wav
171	Spectrogram 1	1	4380.686426	4380.969592	0	24000	0.2832	24000	-67.69	LARGE DEMO SET.wav
172	Spectrogram 1	1	4446.947977	4447.295514	0	24000	0.3475	24000	-62.19	LARGE DEMO SET.wav
173	Spectrogram 1	1	4541.604289	4541.973153	0	24000	0.3689	24000	-54.21	LARGE DEMO SET.wav
174	Spectrogram 1	1	4542.628292	4543.01849	0	24000	0.3902	24000	-48.35	LARGE DEMO SET.wav
175	Spectrogram 1	1	4654.050041	4654.527826	0	24000	0.4778	24000	-75.62	LARGE DEMO SET.wav
176	Spectrogram 1	1	4654.839376	4655.445162	0	24000	0.6058	24000	-69.77	LARGE DEMO SET.wav
177	Spectrogram 1	1	4657.164716	4657.475508	0	24000	0.3108	24000	-77.65	LARGE DEMO SET.wav
178	Spectrogram 1	1	4658.060719	4658.478178	0	24000	0.4175	24000	-74.16	LARGE DEMO SET.wav
179	Spectrogram 1	1	4659.962012	4660.245178	0	24000	0.2832	24000	-70.22	LARGE DEMO SET.wav
180	Spectrogram 1	1	4660.514059	4661.312207	0	24000	0.7981	24000	-69.63	LARGE DEMO SET.wav
181	Spectrogram 1	1	4663.650067	4664.024859	0	24000	0.3748	24000	-83.38	LARGE DEMO SET.wav
182	Spectrogram 1	1	4664.247402	4664.558194	0	24000	0.3108	24000	-70.14	LARGE DEMO SET.wav
183	Spectrogram 1	1	4666.700742	4667.288868	0	24000	0.5881	24000	-79.96	LARGE DEMO SET.wav
184	Spectrogram 1	1	4744.866289	4745.241081	0	24000	0.3748	24000	-67.56	LARGE DEMO SET.wav
185	Spectrogram 1	1	4770.149042	4770.432208	0	24000	0.2832	24000	-65.3	LARGE DEMO SET.wav
186	Spectrogram 1	1	4777.805046	4778.43786	0	24000	0.6328	24000	-68.86	LARGE DEMO SET.wav
187	Spectrogram 1	1	4809.082503	4809.451003	0	24000	0.3685	24000	-70.84	LARGE DEMO SET.wav
188	Spectrogram 1	1	4810.959579	4811.285676	0	24000	0.3261	24000	-77.88	LARGE DEMO SET.wav
189	Spectrogram 1	1	4813.28492	4813.718033	0	24000	0.4331	24000	-58.88	LARGE DEMO SET.wav
190	Spectrogram 1	1	4815.802525	4816.171025	0	24000	0.3685	24000	-70.94	LARGE DEMO SET.wav
191	Spectrogram 1	1	4817.295864	4817.835031	0	24000	0.5392	24000	-78.24	LARGE DEMO SET.wav
192	Spectrogram 1	1	4820.621162	4821.163042	0	24000	0.5419	24000	-85.18	LARGE DEMO SET.wav
193	Spectrogram 1	1	4822.007833	4822.400379	0	24000	0.3925	24000	-84.71	LARGE DEMO SET.wav
194	Spectrogram 1	1	4826.767895	4827.072743	0	24000	0.3048	24000	-85.53	LARGE DEMO SET.wav
195	Spectrogram 1	1	4835.493257	4835.925757	0	24000	0.4325	24000	-74.1	LARGE DEMO SET.wav
196	Spectrogram 1	1	5000.848194	5001.366641	0	24000	0.5184	24000	-68.6	LARGE DEMO SET.wav
